Canonical_Smiles,UniProt,Group,Family,Name,Symbol,Prediction
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.1059
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.0205
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.0821
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.0164
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O14965,Other,Aur,Aurora kinase A ,AURKA,0.0975
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.0176
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.3877
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.1767
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.2529
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.0157
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.1039
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.1808
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.0453
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.0038
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.064
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.0149
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.1195
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.1252
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.1441
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O94804,STE,STE20,Serine/threonine-protein kinase 10 ,STK10,0.0123
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O94806,CAMK,PKD,Serine/threonine-protein kinase D3 ,PRKD3,0.2412
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O95819,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,0.0925
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O96013,STE,STE20,Serine/threonine-protein kinase PAK 4 ,PAK4,0.0175
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,O96017,CAMK,RAD53,Serine/threonine-protein kinase Chk2 ,CHEK2,0.0476
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,P00519,TK,Abl,Tyrosine-protein kinase ABL1 ,ABL1,0.0085
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,P00533,TK,EGFR,Epidermal growth factor receptor ,EGFR,0.0034
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,P04049,TKL,RAF,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,0.0751
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,P04626,TK,EGFR,Receptor tyrosine-protein kinase erbB-2 ,ERBB2,0.0009
COc1cccc(/C=C/c2nc3ccccc3c(=O)n2CC(=O)Nc2ccccc2)c1,P04629,TK,Trk,High affinity nerve growth factor receptor ,NTRK1,0.2216
