Canonical_Smiles,UniProt,Group,Family,Name,Symbol,Prediction
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.0068
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.0587
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.0577
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.0013
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O14965,Other,Aur,Aurora kinase A ,AURKA,0.0378
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.0193
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.0756
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.0093
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.0084
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.016
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.9283
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.0197
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.3148
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.0078
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.0039
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.1429
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.0652
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.0134
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.012
