Canonical_Smiles,UniProt,Group,Family,Name,Symbol,Prediction
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.0362
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.7224
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.3287
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.1717
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O14965,Other,Aur,Aurora kinase A ,AURKA,0.5077
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.118
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.8779
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.4158
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.9049
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.7532
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.5659
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.8473
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.3904
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.539
O=C(O)[C@H]1C2CCC(C3CC32)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nn2cccc12,O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.2417
