Canonical_Smiles,UniProt,Group,Family,Name,Symbol,Prediction
C,O00141,AGC,SGK,Serine/threonine-protein kinase Sgk1 ,SGK1,0.0001
C,O00311,Other,CDC7,Cell division cycle 7-related protein kinase ,CDC7,0.0183
C,O00444,Other,PLK,Serine/threonine-protein kinase PLK4 ,PLK4,0.0054
C,O14920,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,0.0002
C,O14965,Other,Aur,Aurora kinase A ,AURKA,0.0021
C,O15111,Other,IKK,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,0.0012
C,O15146,TK,Musk,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,0.0413
C,O15264,CMGC,MAPK,Mitogen-activated protein kinase 13 ,MAPK13,0.0009
C,O43293,CAMK,DAPK,Death-associated protein kinase 3 ,DAPK3,0.0062
C,O43318,TKL,MLK,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,0.0002
C,O43353,TKL,RIPK,Receptor-interacting serine/threonine-protein kinase 2 ,RIPK2,0.013
C,O43781,CMGC,DYRK,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,0.0032
C,O60285,CAMK,CAMKL,NUAK family SNF1-like kinase 1 ,NUAK1,0.0136
C,O60674,TK,JakA,Tyrosine-protein kinase JAK2 ,JAK2,0.0004
C,O75116,AGC,DMPK,Rho-associated protein kinase 2 ,ROCK2,0.0003
C,O75385,Other,ULK,Serine/threonine-protein kinase ULK1 ,ULK1,0.0211
C,O75460,Other,IRE,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,0.0013
C,O75676,AGC,RSK,Ribosomal protein S6 kinase alpha-4 ,RPS6KA4,0.0073
C,O75716,Other,NAK,Serine/threonine-protein kinase 16 ,STK16,0.0007
C,O94804,STE,STE20,Serine/threonine-protein kinase 10 ,STK10,0.0103
C,O94806,CAMK,PKD,Serine/threonine-protein kinase D3 ,PRKD3,0.0028
C,O95819,STE,STE20,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,0.0125
C,O96013,STE,STE20,Serine/threonine-protein kinase PAK 4 ,PAK4,0.0013
C,O96017,CAMK,RAD53,Serine/threonine-protein kinase Chk2 ,CHEK2,0.0011
C,P00519,TK,Abl,Tyrosine-protein kinase ABL1 ,ABL1,0.0005
C,P00533,TK,EGFR,Epidermal growth factor receptor ,EGFR,0.0502
C,P04049,TKL,RAF,RAF proto-oncogene serine/threonine-protein kinase ,RAF1,0.0009
C,P04626,TK,EGFR,Receptor tyrosine-protein kinase erbB-2 ,ERBB2,0.0059
C,P04629,TK,Trk,High affinity nerve growth factor receptor ,NTRK1,0.0003
C,P05129,AGC,PKC,Protein kinase C gamma type ,PRKCG,0.0013
C,P05771,AGC,PKC,Protein kinase C beta type ,PRKCB,0.0007
C,P06213,TK,InsR,Insulin receptor ,INSR,0.0097
C,P06239,TK,Src,Tyrosine-protein kinase Lck ,LCK,0.0011
C,P06241,TK,Src,Tyrosine-protein kinase Fyn ,FYN,0.0175
C,P06493,CMGC,CDK,Cyclin-dependent kinase 1 ,CDK1,0.0019
C,P07332,TK,Fer,Tyrosine-protein kinase Fes/Fps ,FES,0.0058
C,P07333,TK,PDGFR,Macrophage colony-stimulating factor 1 receptor ,CSF1R,0.0169
C,P07947,TK,Src,Tyrosine-protein kinase Yes ,YES1,0.008
C,P07948,TK,Src,Tyrosine-protein kinase Lyn ,LYN,0.0016
C,P07949,TK,Ret,Proto-oncogene tyrosine-protein kinase receptor Ret ,RET,0.011
C,P08069,TK,InsR,Insulin-like growth factor 1 receptor ,IGF1R,0.0092
C,P08581,TK,Met,Hepatocyte growth factor receptor ,MET,0.0009
C,P08631,TK,Src,Tyrosine-protein kinase HCK ,HCK,0.003
C,P08922,TK,Sev,Proto-oncogene tyrosine-protein kinase ROS ,ROS1,0.06
C,P09619,TK,PDGFR,Platelet-derived growth factor receptor beta ,PDGFRB,0.0014
C,P09769,TK,Src,Tyrosine-protein kinase Fgr ,FGR,0.0032
C,P10721,TK,PDGFR,Mast/stem cell growth factor receptor Kit ,KIT,0.0033
C,P11309,CAMK,PIM,Serine/threonine-protein kinase pim-1 ,PIM1,0.0007
C,P11362,TK,FGFR,Fibroblast growth factor receptor 1 ,FGFR1,0.0002
C,P11802,CMGC,CDK,Cyclin-dependent kinase 4 ,CDK4,0.0002
C,P12931,TK,Src,Proto-oncogene tyrosine-protein kinase Src ,SRC,0.0013
C,P15735,CAMK,PHK,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform ",PHKG2,0.0011
C,P16234,TK,PDGFR,Platelet-derived growth factor receptor alpha ,PDGFRA,0.0067
C,P16591,TK,Fer,Tyrosine-protein kinase Fer ,FER,0.0382
C,P17252,AGC,PKC,Protein kinase C alpha type ,PRKCA,0.0445
C,P17612,AGC,PKA,cAMP-dependent protein kinase catalytic subunit alpha ,PRKACA,0.0004
C,P17948,TK,VEGFR,Vascular endothelial growth factor receptor 1 ,FLT1,0.0008
C,P19784,CMGC,CK2,Casein kinase II subunit alpha' ,CSNK2A2,0.0026
C,P22607,TK,FGFR,Fibroblast growth factor receptor 3 ,FGFR3,0.0004
C,P23443,AGC,RSK,Ribosomal protein S6 kinase beta-1 ,RPS6KB1,0.0032
C,P24941,CMGC,CDK,Cyclin-dependent kinase 2 ,CDK2,0.0032
C,P27448,CAMK,CAMKL,MAP/microtubule affinity-regulating kinase 3 ,MARK3,0.0007
